Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7",0402,7,100n,C1525
J1,PinSocket_2x20_P2.54mm_Vertical,1,GPIO,
J2,Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal,1,DSI IN,C597981
J9,Hirose_FH26-39S-0.3SHW_2Rows-39Pins-1MP_P0.60mm_Horizontal,1,OLED_H497TLB01,C92280
"R1, R2, R7, R8",0402,4,3.9k,C11925
"R3, R5",0402,2,10k,C25531
"R4, R6",0402,2,12k1,C25852
U1,SOIC-8_5.3x5.3mm_P1.27mm,1,CAT24C256,C79987
U2,VSSOP-8_3x3mm_P0.65mm,1,TCA9800,C2677364
U3,SOT-23-5,1,TPS76318,C7099
U4,SOT-23-6,1,TPS22917DBV,C2681320
