Designator,Mid X,Mid Y,Rotation,Layer
C1,25.0,41.0,0.0,top
C2,31.75,8.5,0.0,top
C3,22.25,8.5,180.0,top
C4,6.5,14.5,90.0,top
C5,1.5,8.5,270.0,top
C6,19.3,2.5,0.0,top
C7,11.3,2.5,0.0,top
J1,32.5,52.5,270.0,bottom
J2,47.5,33.0,180.0,top
J9,3.0,17.0,0.0,top
R1,25.0,36.0,180.0,top
R2,25.0,37.0,180.0,top
R3,10.0,29.0,180.0,top
R4,10.0,27.0,0.0,top
R5,6.5,29.0,180.0,top
R6,6.5,27.0,0.0,top
R7,31.75,10.5,180.0,top
R8,31.75,9.5,180.0,top
U1,18.0,38.5,270.0,top
U2,27.0,9.5,0.0,top
U3,11.8,5.5,270.0,top
U4,19.8,5.5,270.0,top
